timestamp;channel1;channel2;channel3;channel4;channel5;channel6;period1;
9140;53.9;48.9;-4.6;50.0;51.9;-10.0;7001;
9160;53.9;48.9;-4.6;50.2;52.1;-10.0;7002;
9180;53.5;48.6;-4.5;50.2;51.2;-10.0;7003;
9200;53.4;48.3;-4.3;50.1;52.0;-10.0;6998;
9220;53.4;48.8;-4.6;50.1;51.7;-10.0;6992;
9240;53.5;48.8;-5.3;50.0;51.7;-10.0;7001;
9260;53.0;48.8;-4.5;50.4;51.3;-10.0;6998;
9280;54.0;48.9;-4.6;49.7;52.5;-10.0;7005;
9300;53.8;49.0;-4.6;50.0;51.9;-10.0;7006;
9320;53.4;48.6;-4.4;50.3;52.1;-10.0;6997;
9340;53.5;48.7;-4.7;50.3;52.2;-10.0;7002;
9360;53.0;49.3;-4.3;50.1;51.7;-10.0;6995;
9380;53.6;48.8;-5.3;50.3;51.9;-10.0;6996;
9400;53.0;48.9;-4.5;50.4;51.2;-10.0;6997;
9420;54.0;48.8;-4.5;50.3;52.2;-10.0;7009;
9440;53.6;48.7;-4.5;50.0;51.7;-10.0;6999;
9460;54.0;48.0;-4.9;50.1;51.7;-10.0;7001;
9480;53.3;48.2;-5.3;50.1;51.7;-10.0;7003;
9700;54.1;48.9;-4.6;50.1;52.0;-10.0;7007;
